/89-90  grant,gary        lac PG 44 1529  241  517   5  21  88  113  59  195  442 108 206   5 120   575
/89-90  grant,greg        pho PG 67  678   83  216   3  16  39   59  16   59  168  36  77   1  58   208
/89-90  grant,harvey      was PF 81 1846  284  601   0   8  96  137 138  342  131  52  85  43 194   664
/89-90  grant,horace      chi PF 80 2753  446  853   0   0 179  256 236  629  227  92 110  84 230  1071
/89-90  gray,stuart       cha PF 58  562   42   99   0   5  32   47  40  145   19  15  24  26  90   116
/89-90  grayer,jeff       mil SG 71 1427  224  487   1   8  99  152  94  217  107  48  82  10 125   548
/89-90  green,a.c.        lal PF 82 2709  385  806  13  46 278  370 262  712   90  66 116  50 207  1061
/89-90  green,ricky       ind PG 69  927  100  231   1  11  43   51   9   54  182  51  62   1  60   244
/89-90  green,sidney      orl PF 73 1860  312  667   1   3 136  209 166  588   99  50 119  26 231   761
/89-90  greenwood,david   det PF 37  205   22   52   0   0  16   29  24   78   12   4  16   9  40    60
/89-90  griffith,darrell  uta SG 82 1444  301  649  80 215  51   78  43  166   63  68  75  19 149   733
/89-90  haffner,scott     mia PG 43  559   88  217   3  21  17   25   7   51   80  13  33   2  53   196
/89-90  haley,jack        =   PF 67 1084  138  347   0   1  85  125 115  300   26  18  72  12 170   361
/89-90  hammonds,tom      was SF 61  805  129  295   0   1  63   98  61  168   51  11  46  14  98   321
/89-90  hansen,bobby      uta SG 81 2174  265  568  54 154  33   64  66  229  149  52  79  11 194   617
/89-90  hanzlik,bill      den SF 81 1605  179  396   6  31 136  183  67  207  186  78  87  29 249   500
/89-90  hardaway,tim      gol PG 79 2663  464  985  23  84 211  276  57  310  689 165 260  12 232  1162
/89-90  harper,derek      dal PG 82 3007  567 1161  89 240 250  315  54  244  609 187 207  26 224  1473
/89-90  harper,ron        =   SG 35 1367  301  637  14  51 182  231  74  206  182  81 100  41 105   798
/89-90  harris,steve      lac ?? 15   93   14   40   0   0   3    4   5   10    1   7   5   1   9    31
/89-90  hastings,scott    det PF 40  166   10   33   3  12  19   22   7   32    8   3   7   3  31    42
/89-90  hawkins,hersey    phi SG 82 2856  522 1136  84 200 387  436  85  304  261 130 185  28 217  1515
/89-90  henderson,gerald   =  PG 57  464   53  109  17  38  12   15  11   43   74  16  24   2  50   135
/89-90  higgins,mike       =  PF 11   50    3    8   0   0   8   10   2    4    3   2   1   2   5    14
/89-90  higgins,rod       gol SF 82 1993  304  632  67 193 234  285 120  422  129  47  93  53 184   909
/89-90  hinson,roy        njn  C 25  793  145  286   0   0  86   99  61  172   22  14  52  27  87   376
/89-90  hodges,craig      chi SG 63 1055  145  331  87 181  30   33  11   53  110  30  53   2  87   407
/89-90  holton,michael    cha PG 16  109   14   26   0   0   1    2   1    2   16   1  13   0  19    29
/89-90  hoppen,dave       cha  C 10  135   16   41   0   0   8   10  19   36    6   2   4   1  26    40
/89-90  hopson,dennis     njn SF 79 2551  474 1093  32 101 271  342 113  279  151 100   0  51 183  1251
/89-90  horford,tito      mil  C 35  236   18   62   0   0  15   24  19   59    2   5  14  16  33    51
/89-90  hornacek,jeff     pho SG 67 2278  483  901  40  98 173  202  86  313  337 117 125  14 144  1179
/89-90  horton,ed         was ?? 45  374   80  162   0   4  42   69  59  108   19   9  39   5  63   202
/89-90  hughes,eddie      den ?? 60  892   83  202  20  49  23   34  15   70  116  48  39   1  87   209
/89-90  humphries,jay     mil PG 81 2818  496 1005  21  70 224  285  80  269  472 156 151  11 253  1237
/89-90  irvin,byron       por SG 50  488   96  203   5  14  61   91  30   74   47  28  39   1  40   258
/89-90  jackson,jaren     njn ?? 28  160   25   69   0   3  17   21  16   24   13  13  18   1  16    67
/89-90  jackson,mark      nyk PG 82 2428  327  749  35 131 120  165 106  318  604 109 211   4 121   809
/89-90  jackson,michael   sac ?? 17   58    3   11   1   2   3    6   2    7    8   5   4   0   3    10
/89-90  johnson,avery     sea PG 53  575   55  142   1   4  29   40  21   43  162  26  91   1  55   140
/89-90  johnson,buck      hou SF 82 2832  504 1019   2  17 205  270 113  381  252 104 167  62 321  1215
/89-90  johnson,dennis    bos PG 75 2036  206  475   1  23 118  140  48  201  485  81 117  14 179   531
/89-90  johnson,eddie     pho SF 64 1811  411  907  70 184 188  205  69  246  107  32 108  10 174  1080
/89-90  johnson,eric      uta PG 48  272   20   84   1   6  13   17   8   28   64  17  26   2  49    54
/89-90  johnson,kevin     pho PG 74 2782  578 1159   8  41 501  598  42  270  846  95 263  14 143  1665
/89-90  johnson,magic     lal PG 79 2937  546 1138 106 279 567  637 128  522  907 132 289  34 167  1765
/89-90  johnson,marques   gol ?? 10   99   12   32   2   3  14   17   8   17    9   0  10   1  12    40
/89-90  johnson,steve      =   C 25  259   48   92   0   0  21   35  19   53   17   3  31   5  56   117
/89-90  johnson,vinnie    det SG 82 1972  334  775   5  34 131  196 108  256  255  71 123  13 143   804
/89-90  johnston,nate      =  ?? 21   87   18   48   1   4   9   13  13   23    1   3   6   8  11    46
/89-90  jones,anthony     dal SG 66  650   72  194   4  13  47   69  33   82   29  32  42  16  77   195
/89-90  jones,caldwell    san ?? 72  885   67  144   1   5  38   54  76  230   20  20  48  27 146   173
/89-90  jones,charles     was  C 81 2240   94  185   0   0  68  105 145  504  139  50  76 197 296   256
/89-90  jordan,michael    chi SG 82 3197 1034 1964  92 245 593  699 143  565  519 227 247  54 241  2753
/89-90  kemp,shawn        sea PF 81 1120  203  424   2  12 117  159 146  346   26  47 107  70 204   525
/89-90  kempton,tim       den PF 71 1061  153  312   0   1  77  114  51  218  118  30  80   9 144   383
/89-90  kerr,steve        cle PG 78 1664  192  432  73 144  63   73  12   98  248  45  74   7  59   520
/89-90  kersey,jerome     por SF 82 2843  519 1085   3  20 269  390 251  690  188 121 144  63 304  1310
/89-90  keys,randolph      =  SG 80 1615  293  678  14  43 101  140 100  253   88  68 168   8 224   701
/89-90  kimbrough,stan    det PF 10   50    7   16   0   0   2    2   4    7    5   4   4   0   4    16
/89-90  king,bernard      was SF 82 2687  711 1459   3  23 412  513 129  404  376  51 248   7 230  1837
/89-90  king,stacey       chi PF 82 1777  267  530   0   1 194  267 169  384   87  38 119  58 215   728
/89-90  kite,greg         sac  C 71 1515  101  234   1   1  27   54 131  377   76  31  76  51 201   230
/89-90  kleine,joe        bos  C 81 1365  176  367   0   4  83  100 117  355   46  15  64  27 170   435
/89-90  koncak,jon        atl  C 54  977   78  127   0   1  42   79  58  226   23  38  47  34 182   198
/89-90  kornet,frank      mil PF 57  438   42  114   5  20  24   39  25   71   21  14  23   3  54   113
/89-90  krystowiak,larry  mil PF 16  381   43  118   0   2  26   33  16   76   25  10  19   2  41   112
/89-90  laimbeer,bill     det  C 81 2675  380  785  57 158 164  192 166  780  171  57  98  84 278   981
/89-90  lane,jerome       den PF 67  956  145  309   0   5  44  120 144  361  105  53  85  17 189   334
/89-90  lang,andrew       pho  C 74 1011   97  174   0   0  64   98  83  271   21  22  41 133 171   258
/89-90  lebo,jeff         san ??  4   32    2    7   0   0   2    2   2    4    3   2   1   0   7     6
/89-90  leckner,eric      uta  C 77  764  125  222   0   0  81  109  48  192   19  15  63  23 157   331
/89-90  legler,tim        pho PG 11   83   11   29   0   1   6    6   4    8    6   2   4   0  12    28
/89-90  leonard,gary      min  C 22  127   13   31   0   1   6   14  10   27    1   3   8   9  26    32
/89-90  les,jim            =  PG  7   92    5   14   0   1  13   17   3    7   21   3  10   0   9    23
/89-90  lett,cliff        chi SG  4   28    2    8   0   0   0    0   0    0    1   0   2   0   8     4
/89-90  lever,fat         den SG 79 2832  568 1283  36  87 271  337 230  734  517 168 156  13 172  1443
/89-90  levingston,cliff  atl SF 75 1706  216  424   1   5  83  122 113  319   80  55  49  41 216   516
/89-90  lewis,ralph       =   SG  7   26    4    7   0   0   2    2   4    6    0   1   2   0   3    10
/89-90  lewis,reggie      bos SG 79 2522  540 1089   4  15 256  317 109  347  225  88 120  63 216  1340
/89-90  lichti,todd       den SG 79 1326  250  514   0  14 130  174  49  151  116  55  95  13 145   630
/89-90  lister,alton      gol  C  3   40    4    8   0   1   4    7   5    8    2   1   0   0   8    12
/89-90  lloyd,lewis       =   ?? 21  123   30   53   0   0   9   16   8   18   11   3  20   0  12    69
/89-90  lohaus,brad       =   PF 80 1943  305  663  47 137  75  103  98  398  168  58 138  88 211   732
/89-90  long,grant        mia PF 81 1856  257  532   0   3 172  241 156  402   96  91 139  38 300   686
/89-90  long,john         atl SG 48 1030  174  384  10  29  46   55  26   83   85  45  75   5  66   404
/89-90  lowe,sidney       min PG 80 1744   73  229   2   9  39   54  41  163  337  73  63   4 114   187
/89-90  lucas,john        hou PG 49  938  109  291  26  87  42   55  19   90  238  45  85   2  59   286
/89-90  mahorn,rick       phi PF 75 2271  313  630   2   9 183  256 167  568   98  44 104 103 251   811
/89-90  majerle,dan       pho SG 73 2244  296  698  19  80 198  260 144  430  188 100  82  32 177   809
/89-90  malone,jeff       was SG 75 2567  781 1592   1   6 257  293  54  206  243  48 125   6 116  1820
/89-90  malone,karl       uta PF 82 3122  914 1627  16  43 696  913 232  911  226 121 304  50 259  2540
/89-90  malone,moses      atl  C 81 2735  517 1077   1   9 493  631 364  812  130  47 232  84 158  1528
/89-90  manning,danny     lac PF 71 2269  440  826   0   5 274  370 142  422  187  91 188  39 261  1154
/89-90  marble,roy        atl SG 25  162   16   58   0   2  19   29  15   24   11   7  14   1  16    51
/89-90  marciullonis,sar  gol SG 75 1695  289  557  10  39 317  403  84  221  121  94 137   7 230   905
/89-90  martin,jeff       lac PG 69 1351  170  414   2  15  91  129  78  159   44  41  47  16  97   433
/89-90  mason,anthony     njn PF 21  108   14   40   0   0   9   15  11   34    7   2  11   2  20    37
/89-90  matthews,wes      atl ??  1   13    1    3   0   1   2    2   0    0    5   0   0   0   0     4
/89-90  maxwell,vernon    =   SG 79 1987  275  627  28 105 136  211  50  228  296  84 140  10 148   714
/89-90  mccann,bob        dal PF 10   62    7   21   0   0  12   14   4   12    6   2   6   2   7    26
/89-90  mccants,mel       lal ?? 13   65    8   26   0   0   6    8   1    6    2   3   1   1  11    22
/89-90  mcckinney,carlto  lac ??  7  104    8   32   0   1   2    4   4   12    7   6   7   1  15    18
/89-90  mccloud,george    ind SF 44  413   45  144  13  40  15   19  12   42   45  19  36   3  56   118
/89-90  mccormick,tim     hou  C 18  116   10   29   0   0  10   19   8   27    3   3  10   1  24    30
/89-90  mccray,rodney     sac SF 82 3238  537 1043  11  42 273  348 192  669  377  60 174  70 176  1358
/89-90  mcdaniel,xavier   sea SF 69 2432  611 1233   5  17 244  333 165  447  171  73 187  36 231  1471
/89-90  mcgee,mike        pho SF 14  280   42   87   8  23  10   21  11   36   16   8  14   1  28   102
/89-90  mchale,kevin      bos PF 82 2722  648 1181  23  69 393  440 201  677  172  30 183 157 250  1712
/89-90  mckey,derrick     sea SF 80 2748  468  949   3  23 315  403 170  489  187  87 192  81 247  1254
/89-90  mcmillan,nate     sea PG 82 2338  207  438  11  31  98  153 127  403  598 140 187  37 289   523
